Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1997,0.2540,0.1503,0.1036,12539.5229,11503.3976
1998,0.1207,0.0669,0.0537,14208.4840,12409.7832
1999,0.2474,0.1300,0.1174,18468.3986,14612.4006
2000,0.0096,0.0096,0.0000,17486.6843,13835.6574
2001,0.0656,0.0543,0.0113,18962.3035,14843.7441
2002,-0.1465,-0.1465,0.0000,16215.3111,12693.3908
2003,0.3682,0.2869,0.0814,22197.6826,16343.0811
2004,0.1894,0.1057,0.0837,26822.9787,18359.0672
2005,0.1753,0.1107,0.0646,30999.6018,20051.4189
2006,0.1850,0.0833,0.1017,39256.9487,23213.3414
2007,0.1442,0.0815,0.0627,45350.5259,25346.4607
2008,-0.0684,-0.0684,-0.0000,38639.3051,21595.5517
2009,0.2190,0.1996,0.0194,47192.2896,25955.8441
2010,0.0469,0.0469,0.0000,46902.7947,25796.6214
2011,-0.0570,-0.0570,0.0000,45271.8833,24899.6171
2012,0.1447,0.0848,0.0599,54135.8965,28216.6899
2013,0.2111,0.1118,0.0993,67753.7208,32418.6330
2014,0.1759,0.1188,0.0571,76906.2374,35011.1629
2015,-0.0132,-0.0132,0.0000,73602.9231,33507.3463
2016,0.1037,0.0796,0.0241,81250.6996,36182.0168
2017,0.1786,0.0982,0.0804,97564.6904,40482.8003
2018,-0.1466,-0.1466,0.0000,87916.0034,36479.2426
2019,0.1049,0.1049,0.0000,97306.1207,40375.5112
2020,0.1661,0.0996,0.0665,113416.1099,44376.5474
2021,0.2257,0.1340,0.0917,138872.1947,50273.0172
2022,-0.1245,-0.1245,0.0000,115279.0018,41732.0635
2023,0.0241,0.0241,-0.0000,127982.5210,46330.8547
2024,0.2280,0.1624,0.0655,159775.1103,54752.7099
2025,0.1504,0.0780,0.0724,188903.1735,60661.9252
2026,0.0226,-0.0087,0.0314,204256.8649,63580.7729
