Date,Selection,US_Above_MA,INTL_Above_MA,US_Momentum,INTL_Momentum,Pre_Tax_Value,After_Tax_Value,Pre_Tax_Return,After_Tax_Return,Tax_Paid_Cumulative
1997-01-31,US,True,False,0.171468,,10000.000000,10000.000000,,,0.000000
1997-02-28,US,True,False,0.135835,,10078.943787,10078.943787,0.007894,0.007894,0.000000
1997-03-31,US,True,False,0.073520,,9662.107075,9662.107075,-0.041357,-0.041357,0.000000
1997-04-30,US,True,True,0.120008,0.002387,10237.541659,10237.541659,0.059556,0.059556,0.000000
1997-05-31,US,True,True,0.140661,0.055158,10860.815224,10860.815224,0.060881,0.060881,0.000000
1997-06-30,US,True,True,0.192359,0.101533,11344.516862,11344.516862,0.044536,0.044536,0.000000
1997-07-31,US,True,True,0.255220,0.121647,12248.183804,12248.183804,0.079657,0.079657,0.000000
1997-08-31,US,True,True,0.140187,-0.000818,11561.177525,11561.177525,-0.056090,-0.056090,0.000000
1997-09-30,US,True,True,0.198743,0.057141,12193.454518,12193.454518,0.054690,0.054690,0.000000
1997-10-31,US,True,False,0.099973,-0.052595,11784.942844,11784.942844,-0.033503,-0.033503,0.000000
1997-11-30,US,True,False,0.132719,-0.045209,12326.874156,12326.874156,0.045985,0.045985,0.000000
1997-12-31,US,True,False,0.120767,-0.051016,12539.522890,11503.397551,0.017251,-0.066803,1036.125339
1998-01-31,US,True,False,0.097493,0.001456,12678.742640,11631.113744,0.011102,0.011102,1036.125339
1998-02-28,US,True,True,0.174600,0.083221,13590.632003,12467.654812,0.071923,0.071923,1036.125339
1998-03-31,US,True,True,0.210006,0.083807,14284.256222,13103.965716,0.051037,0.051037,1036.125339
1998-04-30,US,True,True,0.195424,0.098441,14428.202841,13236.018203,0.010077,0.010077,1036.125339
1998-05-31,US,True,True,0.120262,0.049131,14176.645643,13005.246867,-0.017435,-0.017435,1036.125339
1998-06-30,US,True,True,0.137677,0.026082,14753.858348,13534.765196,0.040716,0.040716,1036.125339
1998-07-31,US,True,True,0.086132,0.024242,14598.333345,13392.091033,-0.010541,-0.010541,1036.125339
1998-08-31,CASH,False,False,-0.066352,-0.109894,12485.435113,11453.778980,-0.144736,-0.144736,1036.125339
1998-09-30,CASH,False,False,-0.003922,-0.113063,12732.531560,11680.458153,0.019791,0.019791,1036.125339
1998-10-31,US,True,False,0.070361,0.008525,12660.238983,11614.139022,-0.005678,-0.005678,1036.125339
1998-11-30,US,True,True,0.148346,0.080132,13428.914033,12319.299399,0.060716,0.060716,1036.125339
