Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.3003,0.2597,0.0406,13002.7623,12597.0461
2000,-0.0162,-0.0314,0.0153,12270.1027,11690.1553
2001,-0.0411,-0.0452,0.0041,12113.9134,11496.6588
2002,0.0033,-0.0064,0.0097,12632.5610,11874.0054
2003,0.3095,0.2601,0.0494,16548.1785,14967.9605
2004,0.0777,0.0175,0.0602,17727.2715,15136.1968
2005,0.1400,0.1400,-0.0000,19837.0131,16930.4252
2006,0.1441,0.0632,0.0809,24832.1906,19695.6347
2007,0.2005,0.1314,0.0691,30721.5678,22979.9780
2008,-0.1785,-0.1785,-0.0000,25917.5179,19418.0512
2009,0.1980,0.1741,0.0239,31537.0348,23157.3221
2010,0.1459,0.0939,0.0520,33558.9053,23486.7582
2011,-0.0527,-0.0526,-0.0001,32248.6758,22574.3777
2012,-0.0082,-0.0120,0.0038,32923.0494,22957.7446
2013,0.1942,0.1576,0.0367,40675.1139,27493.0087
2014,0.1361,0.0724,0.0636,45309.6295,28903.4768
2015,-0.0770,-0.0895,0.0125,43696.2787,27535.5154
2016,0.0892,0.0889,0.0003,45365.0713,28570.1740
2017,0.1887,0.1551,0.0336,53856.3922,32957.9893
2018,-0.0634,-0.0939,0.0305,54735.7448,32426.8641
2019,0.0516,0.0276,0.0241,58285.4055,33741.3838
2020,0.2972,0.2649,0.0322,74897.7868,42280.3730
2021,0.1137,0.0054,0.1083,84108.1672,42871.5904
2022,-0.0479,-0.0481,0.0002,78709.1301,40005.5176
2023,0.0900,0.0900,0.0000,88303.9193,44882.2645
2024,0.1309,0.1020,0.0289,99458.5339,49259.3590
2025,0.1879,0.1420,0.0459,123999.4528,59057.6172
2026,-0.0163,-0.0646,0.0483,129439.4290,58758.7912
