Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.4008,0.3496,0.0512,14007.9979,13495.6965
2000,-0.0335,-0.0450,0.0115,12977.5860,12349.4341
2001,-0.0341,-0.0403,0.0062,12954.2171,12248.2777
2002,-0.0139,-0.0325,0.0186,13353.1785,12389.2305
2003,0.4363,0.3677,0.0686,19397.6135,17138.4462
2004,0.0250,-0.0290,0.0541,19695.5870,16479.5468
2005,0.1423,0.1432,-0.0009,22096.2925,18495.4054
2006,0.1446,0.0680,0.0766,27759.0204,21679.6352
2007,0.2420,0.1852,0.0568,35536.0001,26496.9713
2008,-0.1820,-0.1841,0.0021,29567.8085,21959.9609
2009,0.3366,0.2715,0.0651,40066.3936,28308.7881
2010,0.2182,0.1240,0.0942,45193.6165,29434.0473
2011,-0.0169,-0.0261,0.0092,45016.8915,29043.9533
2012,0.0234,-0.0026,0.0260,47422.3831,29822.3123
2013,0.1996,0.1522,0.0474,58893.4590,35575.7085
2014,0.1195,0.0702,0.0493,64644.7949,37325.1552
2015,-0.0849,-0.0959,0.0110,61602.4990,35148.6711
2016,0.0915,0.0904,0.0011,64077.9544,36516.6438
2017,0.2172,0.1729,0.0443,77921.1427,42789.4803
2018,-0.1027,-0.1232,0.0204,75861.3250,40744.3125
2019,0.0888,0.0522,0.0366,83638.3376,43413.8476
2020,0.2706,0.2469,0.0237,105287.9890,53613.8959
2021,0.1413,0.0279,0.1134,121928.7164,55924.0355
2022,-0.0370,-0.0383,0.0013,114861.9768,52422.3362
2023,0.0645,0.0645,-0.0000,125907.4609,57463.4307
2024,0.1267,0.0984,0.0283,140421.5447,62475.4485
2025,0.1635,0.1499,0.0136,171334.7032,75362.0843
2026,-0.0038,-0.0665,0.0627,185366.2401,76431.7730
