Date,Pre_Tax_Value,After_Tax_Value,Pre_Tax_Return,After_Tax_Return,Tax_Paid_Cumulative,BIL_Weight,Holdings,Num_Holdings
1999-01-31,10000.000000,10000.000000,,,0.000000,0.000000,"VEA,VTV,IGOV",3
1999-02-28,9797.362370,9797.362370,-0.020264,-0.020264,0.000000,0.000964,"VEA,VTV,VWO,BIL",4
1999-03-31,10440.351592,10440.351592,0.065629,0.065629,0.000000,0.000909,"VEA,VTV,VWO,BIL",4
1999-04-30,11466.101360,11466.101360,0.098249,0.098249,0.000000,0.000831,"VEA,VTV,VWO,BIL",4
1999-05-31,11045.140383,11045.140383,-0.036714,-0.036714,0.000000,0.000000,"VTV,VWO,VBR",3
1999-06-30,11714.493175,11714.493175,0.060602,0.060602,0.000000,0.000000,"VTV,VWO,IAU",3
1999-07-31,11420.288229,11420.288229,-0.025115,-0.025115,0.000000,0.000000,"VWO,IAU,VEA",3
1999-08-31,11360.762773,11360.762773,-0.005212,-0.005212,0.000000,0.000000,"VWO,IAU,VEA",3
1999-09-30,12104.268996,12104.268996,0.065445,0.065445,0.000000,0.000000,"VWO,IAU,VEA",3
1999-10-31,11991.712145,11991.712145,-0.009299,-0.009299,0.000000,0.000000,"VWO,VEA,VBK",3
1999-11-30,12719.171076,12719.171076,0.060663,0.060663,0.000000,0.000000,"VWO,VEA,IAU",3
1999-12-31,14007.997884,13495.696458,0.101329,0.061052,512.301425,0.000000,"VWO,VEA,VBK",3
2000-01-31,13426.739278,12930.852464,-0.041495,-0.041854,512.301425,0.000000,"VWO,VEA,VBK",3
2000-02-29,14632.831876,14113.467993,0.089828,0.091457,512.301425,0.000000,"VWO,VEA,VBK",3
2000-03-31,14271.788058,13758.070172,-0.024674,-0.025181,512.301425,0.000000,"VWO,VEA,VBK",3
2000-04-30,13478.655480,12987.102144,-0.055573,-0.056038,512.301425,0.011232,"VEA,VBK,VBR,BIL",4
2000-05-31,13083.059300,12599.285158,-0.029350,-0.029862,512.301425,0.323551,"VBK,VTV,BIL",3
2000-06-30,13388.175457,12900.321532,0.023321,0.023893,512.301425,0.000000,"VBK,VEA,VBR",3
2000-07-31,12942.816724,12462.444681,-0.033265,-0.033943,512.301425,0.349587,"VBR,IGOV,BIL",3
2000-08-31,13363.648331,12863.774921,0.032515,0.032203,512.301425,0.007995,"VBR,VBK,IAU,BIL",4
2000-09-30,12805.008118,12327.012654,-0.041803,-0.041727,512.301425,0.000000,"VBR,VBK,VTV",3
2000-10-31,12944.595468,12462.642048,0.010901,0.011003,512.301425,0.000000,"VBR,VBK,VTV",3
2000-11-30,11806.047076,11368.053320,-0.087956,-0.087830,512.301425,0.000000,"VBR,IGOV,IAU",3
2000-12-31,12835.986385,12219.429055,0.087238,0.074892,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-01-31,13250.688240,12604.561497,0.032308,0.031518,648.158678,0.000000,"VBR,IAU,VTV",3
2001-02-28,12931.298879,12312.348648,-0.024104,-0.023183,648.158678,0.000000,"VBR,IAU,IGOV",3
2001-03-31,12166.539314,11569.915984,-0.059140,-0.060300,648.158678,0.306133,"VBR,IGOV,BIL",3
2001-04-30,12417.925106,11802.247692,0.020662,0.020081,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-05-31,12826.939307,12196.719021,0.032937,0.033423,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-06-30,12977.934224,12332.783815,0.011772,0.011156,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-07-31,12750.296905,12108.788651,-0.017540,-0.018163,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-08-31,12857.017833,12216.824949,0.008370,0.008922,648.158678,0.000000,"VBR,IGOV,IAU",3
2001-09-30,12299.550153,11708.123892,-0.043359,-0.041639,648.158678,0.355508,"IGOV,IAU,BIL",3
2001-10-31,12453.180429,11851.896001,0.012491,0.012280,648.158678,0.357732,"IGOV,IAU,BIL",3
2001-11-30,12391.650463,11798.782038,-0.004941,-0.004481,648.158678,0.019475,"IGOV,IAU,VBR,BIL",4
2001-12-31,12837.431153,12154.034538,0.035974,0.030109,722.274228,0.000000,"IAU,VBR,VWO",3
2002-01-31,13401.105097,12698.264675,0.043909,0.044778,722.274228,0.000000,"IAU,VBR,VWO",3
2002-02-28,13837.578444,13120.096396,0.032570,0.033220,722.274228,0.000000,"IAU,VBR,VWO",3
2002-03-31,14790.380898,14034.407694,0.068856,0.069688,722.274228,0.000000,"IAU,VBR,VWO",3
2002-04-30,15215.706205,14442.157657,0.028757,0.029054,722.274228,0.000000,"IAU,VBR,VWO",3
2002-05-31,15791.313472,15011.577401,0.037830,0.039428,722.274228,0.000000,"IAU,VBR,VWO",3
2002-06-30,14415.272216,13686.062815,-0.087139,-0.088299,722.274228,0.000000,"IAU,VBR,IGOV",3
2002-07-31,12777.878954,12105.253227,-0.113587,-0.115505,722.274228,0.664099,"IGOV,BIL",2
2002-08-31,12990.183476,12306.382069,0.016615,0.016615,722.274228,0.330766,"IGOV,IAU,BIL",3
2002-09-30,13022.433678,12336.934626,0.002483,0.002483,722.274228,0.659810,"IGOV,BIL",2
2002-10-31,12942.707725,12261.405436,-0.006122,-0.006122,722.274228,0.659810,"IGOV,BIL",2
2002-11-30,12945.912466,12264.441479,0.000248,0.000248,722.274228,0.659810,"IGOV,BIL",2
2002-12-31,13214.017114,12292.265536,0.020710,0.002269,948.441829,0.329841,"IGOV,IAU,BIL",3
2003-01-31,13364.166580,12432.810378,0.011363,0.011434,948.441829,0.326280,"IGOV,IAU,BIL",3
2003-02-28,13246.790420,12322.801678,-0.008783,-0.008848,948.441829,0.333722,"IGOV,IAU,BIL",3
2003-03-31,12968.522728,12062.337233,-0.021006,-0.021137,948.441829,0.648820,"IGOV,BIL",2
2003-04-30,13081.045277,12166.997183,0.008677,0.008677,948.441829,0.000000,"IGOV,VWO,VTV",3
2003-05-31,13760.788775,12808.316769,0.051964,0.052710,948.441829,0.009874,"VTV,VBK,IAU,BIL",4
2003-06-30,14035.326548,13066.174945,0.019951,0.020132,948.441829,0.011594,"VTV,VBK,VWO,BIL",4
2003-07-31,14689.689779,13682.124823,0.046623,0.047141,948.441829,0.000000,"VBK,VWO,IAU",3
2003-08-31,15934.930515,14842.329507,0.084770,0.084797,948.441829,0.000000,"VBK,VWO,IAU",3
2003-09-30,16104.939841,15001.051863,0.010669,0.010694,948.441829,0.000000,"VBK,VWO,IAU",3
2003-10-31,17628.959935,16420.676039,0.094631,0.094635,948.441829,0.000000,"VBK,VWO,IAU",3
2003-11-30,18576.494735,17303.844768,0.053749,0.053784,948.441829,0.000000,"VBK,VWO,IAU",3
2003-12-31,19117.646744,16949.940153,0.029131,-0.020452,1806.219776,0.000000,"VWO,IAU,VEA",3
2004-01-31,18951.713954,16797.719709,-0.008680,-0.008981,1806.219776,0.000000,"VWO,VEA,VBK",3
2004-02-29,19394.232687,17192.448570,0.023350,0.023499,1806.219776,0.000000,"VWO,VEA,VBR",3
2004-03-31,19560.604383,17337.994722,0.008578,0.008466,1806.219776,0.000000,"VWO,VBR,IAU",3
2004-04-30,17596.637218,15579.011506,-0.100404,-0.101453,1806.219776,0.000000,"VWO,VEA,GSG",3
2004-05-31,17745.525183,15710.628780,0.008461,0.008448,1806.219776,0.000000,"VWO,VEA,GSG",3
2004-06-30,17620.303692,15599.996227,-0.007057,-0.007042,1806.219776,0.000000,"VEA,VBR,VBK",3
2004-07-31,16734.171915,14815.465935,-0.050290,-0.050290,1806.219776,0.328116,"VBR,GSG,BIL",3
2004-08-31,16947.494535,15004.329418,0.012748,0.012748,1806.219776,0.000000,"VBR,GSG,VTV",3
2004-09-30,17554.355816,15541.609228,0.035808,0.035808,1806.219776,0.000000,"GSG,VWO,IAU",3
2004-10-31,17966.681026,15906.658072,0.023488,0.023488,1806.219776,0.000000,"GSG,VWO,IAU",3
2004-11-30,19109.613111,16918.543898,0.063614,0.063614,1806.219776,0.000000,"VWO,IAU,VBR",3
2004-12-31,19453.384084,16334.699748,0.017989,-0.034509,2694.418821,0.000000,"VWO,VBR,VEA",3
2005-01-31,19107.621758,16037.902470,-0.017774,-0.018170,2694.418821,0.000000,"VWO,VBR,VEA",3
2005-02-28,20150.193371,16923.018564,0.054563,0.055189,2694.418821,0.000000,"VWO,VBR,VEA",3
2005-03-31,19339.397826,16235.462270,-0.040238,-0.040628,2694.418821,0.000000,"VWO,VEA,GSG",3
2005-04-30,18755.267244,15748.528365,-0.030204,-0.029992,2694.418821,0.000000,"VWO,VEA,IAU",3
2005-05-31,18766.225258,15764.055355,0.000584,0.000986,2694.418821,0.000000,"VWO,VBR,VTV",3
2005-06-30,19294.031406,16207.369634,0.028125,0.028122,2694.418821,0.000000,"VWO,VBR,IAU",3
2005-07-31,20087.606320,16873.786304,0.041131,0.041118,2694.418821,0.000000,"VWO,VBR,VBK",3
2005-08-31,19950.128058,16758.246374,-0.006844,-0.006847,2694.418821,0.003604,"VWO,VBK,GSG,BIL",4
2005-09-30,20844.329856,17509.182393,0.044822,0.044810,2694.418821,0.000000,"VWO,GSG,VEA",3
2005-10-31,19568.802392,16437.825835,-0.061193,-0.061188,2694.418821,0.000000,"VWO,VEA,IAU",3
2005-11-30,20714.375109,17399.974863,0.058541,0.058533,2694.418821,0.000000,"VWO,VEA,IAU",3
2005-12-31,21861.484251,18363.513480,0.055377,0.055376,2694.418821,0.000000,"VWO,VEA,IAU",3
2006-01-31,24000.090863,20159.801657,0.097825,0.097818,2694.418821,0.000000,"VWO,VEA,IAU",3
2006-02-28,23721.676512,19925.959167,-0.011601,-0.011599,2694.418821,0.000000,"VWO,IAU,VNQ",3
2006-03-31,24407.556231,20502.196647,0.028914,0.028919,2694.418821,0.000000,"VWO,IAU,VNQ",3
2006-04-30,25865.808213,21726.802983,0.059746,0.059730,2694.418821,0.000000,"VWO,IAU,VEA",3
2006-05-31,24303.726544,20414.894636,-0.060392,-0.060382,2694.418821,0.000000,"VWO,IAU,VEA",3
2006-06-30,23855.562696,20038.429604,-0.018440,-0.018441,2694.418821,0.074604,"IAU,VEA,VNQ,BIL",4
2006-07-31,24517.635291,20594.560873,0.027753,0.027753,2694.418821,0.073567,"IAU,VEA,VNQ,BIL",4
2006-08-31,24866.263410,20887.425894,0.014219,0.014221,2694.418821,0.073727,"IAU,VEA,VNQ,BIL",4
2006-09-30,24668.516217,20721.296097,-0.007952,-0.007954,2694.418821,0.068313,"VEA,VNQ,VTV,BIL",4
2006-10-31,25723.149498,21607.273876,0.042752,0.042757,2694.418821,0.062485,"VEA,VNQ,VWO,BIL",4
2006-11-30,27055.324837,22726.370720,0.051789,0.051793,2694.418821,0.060066,"VEA,VNQ,VWO,BIL",4
2006-12-31,27455.345059,21508.073505,0.014785,-0.053607,4248.842810,0.061800,"VEA,VNQ,VWO,BIL",4
2007-01-31,28298.125974,22178.272234,0.030696,0.031160,4248.842810,0.059883,"VEA,VNQ,VWO,BIL",4
2007-02-28,27912.338752,21869.387223,-0.013633,-0.013927,4248.842810,0.061643,"VEA,VNQ,VWO,BIL",4
2007-03-31,28295.093664,22177.726597,0.013713,0.014099,4248.842810,0.060799,"VEA,VNQ,VWO,BIL",4
2007-04-30,28980.494549,22726.820883,0.024223,0.024759,4248.842810,0.050937,"VEA,VWO,VTV,BIL",4
2007-05-31,30154.670814,23666.681860,0.040516,0.041355,4248.842810,0.048535,"VEA,VWO,VTV,BIL",4
2007-06-30,30467.493513,23926.611554,0.010374,0.010983,4248.842810,0.035784,"VEA,VWO,QQQ,BIL",4
2007-07-31,30871.095828,24254.247592,0.013247,0.013693,4248.842810,0.035596,"VEA,VWO,QQQ,BIL",4
2007-08-31,31012.739744,24358.657486,0.004588,0.004305,4248.842810,0.035920,"VEA,VWO,QQQ,BIL",4
2007-09-30,33300.692126,26186.201224,0.073775,0.075026,4248.842810,0.000000,"VWO,QQQ,IAU",3
2007-10-31,36318.653587,28577.203086,0.090628,0.091308,4248.842810,0.000000,"VWO,QQQ,IAU",3
2007-11-30,34196.366222,26884.960519,-0.058435,-0.059217,4248.842810,0.000000,"VWO,IAU,GSG",3
2007-12-31,35124.601232,26274.772361,0.027144,-0.022696,5564.836899,0.000000,"VWO,IAU,GSG",3
2008-01-31,35726.298758,26686.999334,0.017130,0.015689,5564.836899,0.000000,"IAU,GSG,IGOV",3
2008-02-29,38074.710193,28468.817648,0.065733,0.066767,5564.836899,0.000000,"IAU,GSG,VWO",3
2008-03-31,35770.594341,26738.144785,-0.060516,-0.060792,5564.836899,0.000000,"IAU,GSG,IGOV",3
2008-04-30,35487.287362,26539.848434,-0.007920,-0.007416,5564.836899,0.000000,"IAU,GSG,VWO",3
2008-05-31,36120.725423,27017.092120,0.017850,0.017982,5564.836899,0.000000,"IAU,GSG,VWO",3
2008-06-30,36597.157721,27398.206583,0.013190,0.014106,5564.836899,0.000000,"IAU,GSG,IGOV",3
2008-07-31,34597.753851,25867.036790,-0.054633,-0.055886,5564.836899,0.000000,"IAU,GSG,IGOV",3
2008-08-31,32729.343320,24469.441096,-0.054004,-0.054030,5564.836899,0.349875,"IGOV,VBK,BIL",3
2008-09-30,31104.826281,23254.903316,-0.049635,-0.049635,5564.836899,0.666667,"VNQ,BIL",2
2008-10-31,27289.785929,20402.664447,-0.122651,-0.122651,5564.836899,1.000000,BIL,1
2008-11-30,28283.359178,21145.489680,0.036408,0.036408,5564.836899,0.666667,"IGOV,BIL",2
2008-12-31,29223.130268,21773.866523,0.033227,0.029717,5639.061177,0.333965,"IGOV,IAU,BIL",3
2009-01-31,29626.721930,22074.939540,0.013811,0.013827,5639.061177,0.327115,"IGOV,IAU,BIL",3
2009-02-28,29693.484706,22124.751900,0.002253,0.002257,5639.061177,0.324998,"IGOV,IAU,BIL",3
2009-03-31,29714.110547,22140.097230,0.000695,0.000694,5639.061177,0.329581,"IGOV,IAU,BIL",3
2009-04-30,29444.982778,21939.335082,-0.009057,-0.009068,5639.061177,0.000000,"IGOV,IAU,VWO",3
2009-05-31,32325.523363,24084.960007,0.097828,0.097798,5639.061177,0.000000,"IAU,VWO,VEA",3
2009-06-30,31368.789277,23371.845064,-0.029597,-0.029608,5639.061177,0.000000,"VWO,QQQ,VBK",3
2009-07-31,34389.958776,25622.553669,0.096311,0.096300,5639.061177,0.000000,"VWO,QQQ,VEA",3
2009-08-31,34841.380085,25959.305191,0.013127,0.013143,5639.061177,0.000000,"VWO,VBR,VNQ",3
2009-09-30,37357.190680,27833.491533,0.072208,0.072197,5639.061177,0.000000,"VWO,VNQ,VEA",3
