Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
2014,0.0868,0.0868,0.0000,10868.3040,10868.3040
2015,-0.0565,-0.0638,0.0073,10346.3420,10266.0638
2016,0.0658,0.0560,0.0098,10807.0179,10624.2931
2017,0.2055,0.1855,0.0200,13314.2784,12873.1413
2018,-0.0635,-0.1000,0.0365,13273.9195,12339.3990
2019,0.0607,0.0374,0.0233,14229.7123,12942.3960
2020,0.1464,0.1464,-0.0000,16336.4630,14859.0081
2021,0.1802,0.1037,0.0765,19553.8099,16632.7213
2022,-0.0191,-0.0420,0.0229,18557.4552,15393.6524
2023,-0.0196,-0.0197,0.0002,18722.3206,15534.1993
2024,0.1158,0.1104,0.0054,20924.1837,17276.4026
2025,0.1116,0.0921,0.0194,24300.1414,19714.2939
2026,0.0753,0.0169,0.0584,27496.9980,21102.0390
