Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.1839,0.1839,0.0000,11838.9516,11838.9516
2000,0.0372,0.0238,0.0133,11690.7424,11540.3343
2001,-0.0063,-0.0173,0.0110,11966.5615,11682.9572
2002,-0.0375,-0.0504,0.0130,11799.5726,11365.7077
2003,0.4084,0.3853,0.0230,16717.0357,15839.0727
2004,0.1189,0.0738,0.0451,18893.7486,17180.3859
2005,0.1659,0.1415,0.0244,21500.8058,19136.9162
2006,0.1410,0.0967,0.0444,26538.2692,22728.6125
2007,0.1547,0.1357,0.0190,31295.5313,26336.3078
2008,-0.1116,-0.1472,0.0356,26946.2148,21739.1119
2009,0.3276,0.2838,0.0438,35896.2796,28004.9403
2010,0.1799,0.1404,0.0395,39470.7428,29739.4771
2011,0.0213,-0.0241,0.0453,40784.9127,29373.2976
2012,0.0780,0.0438,0.0341,44945.6669,31355.6510
2013,0.2134,0.2051,0.0083,56865.3324,39431.2613
2014,0.1400,0.1069,0.0331,62453.1549,42035.5084
2015,-0.0592,-0.0925,0.0333,59234.1921,38451.3360
2016,0.0735,0.0679,0.0056,62723.0170,40504.0478
2017,0.1829,0.1728,0.0102,75749.9361,48494.7162
2018,-0.0576,-0.0969,0.0393,75570.7610,46366.1563
2019,0.0638,0.0438,0.0201,81320.5647,48958.2901
2020,0.1979,0.1980,-0.0001,95584.1696,57538.5291
2021,0.1763,0.1273,0.0490,113635.9710,65559.4705
2022,-0.0320,-0.0624,0.0305,106767.6816,59607.8389
2023,0.0237,0.0238,-0.0002,112660.8585,62919.4554
2024,0.1344,0.1295,0.0049,125641.7729,69867.5749
2025,0.1551,0.1314,0.0238,150931.2156,82207.8956
2026,0.0693,0.0195,0.0499,171532.0919,89097.0610
