Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.2002,0.1942,0.0059,12001.7947,11942.4355
2000,0.0479,0.0209,0.0270,11966.7323,11598.1549
2001,-0.0230,-0.0354,0.0124,12015.1722,11500.8612
2002,-0.0286,-0.0286,0.0000,11905.6978,11398.9054
2003,0.2916,0.2637,0.0279,15383.8226,14410.5243
2004,0.1039,0.0620,0.0419,17193.6827,15497.2067
2005,0.1230,0.0984,0.0246,18852.8300,16610.7539
2006,0.1321,0.0993,0.0328,22751.6102,19471.5728
2007,0.1161,0.0814,0.0347,25969.3959,21538.7340
2008,-0.0866,-0.1102,0.0236,23297.7999,18827.8675
2009,0.2213,0.1911,0.0302,28577.0655,22525.2818
2010,0.1504,0.1125,0.0380,30688.7059,23366.2148
2011,-0.0861,-0.0931,0.0070,27941.5999,21111.6120
2012,0.0655,0.0468,0.0187,30244.9904,22451.6338
2013,0.2154,0.2043,0.0111,38472.2238,28306.4350
2014,0.1055,0.0680,0.0375,41486.5343,29486.9830
2015,-0.0245,-0.0529,0.0284,40665.6543,28068.1487
2016,0.0498,0.0473,0.0026,42113.5623,28986.6402
2017,0.1819,0.1812,0.0007,50986.9527,35073.8206
2018,-0.0496,-0.0940,0.0444,51087.9864,33503.6751
2019,0.0845,0.0691,0.0154,55719.6351,36031.3843
2020,0.1086,0.1002,0.0084,61269.7263,39317.6786
2021,0.2042,0.1584,0.0458,74337.4030,45890.3104
2022,-0.0265,-0.0580,0.0316,71063.5168,42416.2395
2023,-0.0241,-0.0241,-0.0000,70457.7413,42070.7803
2024,0.1487,0.1487,0.0000,79435.1249,47431.2350
2025,0.1183,0.0987,0.0196,91935.4524,53933.5365
2026,0.0707,0.0332,0.0374,104093.9240,58945.8952
