Date,Pre_Tax_Value,After_Tax_Value,Pre_Tax_Return,After_Tax_Return,Tax_Paid_Cumulative,BIL_Weight,Holdings,Num_Holdings
1999-01-31,10000.000000,10000.000000,,,0.000000,0.333333,"VEA,VTV,IGOV,MTUM,BIL",5
1999-02-28,9787.129111,9787.129111,-0.021287,-0.021287,0.000000,0.166667,"VEA,VTV,IGOV,MTUM,BIL",5
1999-03-31,10001.710981,10001.710981,0.021925,0.021925,0.000000,0.166667,"VEA,VTV,IGOV,MTUM,VWO,BIL",6
1999-04-30,10560.530747,10560.530747,0.055872,0.055872,0.000000,0.000000,"VEA,VTV,IGOV,MTUM,VWO,IAU",6
1999-05-31,10308.567742,10308.567742,-0.023859,-0.023859,0.000000,0.166667,"VEA,VTV,MTUM,VWO,VBK,BIL",6
1999-06-30,10773.528678,10773.528678,0.045104,0.045104,0.000000,0.000000,"VEA,VTV,MTUM,VWO,IAU,VBR",6
1999-07-31,10612.710244,10612.710244,-0.014927,-0.014927,0.000000,0.000000,"VEA,VTV,MTUM,VWO,IAU,VBR",6
1999-08-31,10458.850133,10458.850133,-0.014498,-0.014498,0.000000,0.000000,"VEA,VTV,MTUM,VWO,IAU,VBK",6
1999-09-30,10714.988289,10714.988289,0.024490,0.024490,0.000000,0.166667,"VEA,VWO,IAU,VBK,VBR,BIL",6
1999-10-31,10707.400811,10707.400811,-0.000708,-0.000708,0.000000,0.000000,"VEA,VWO,IAU,VBK,VTV",5
1999-11-30,11048.516719,11048.516719,0.031858,0.031858,0.000000,0.000000,"VEA,VWO,IAU,VBK,VTV,MTUM",6
1999-12-31,12001.794749,11942.435511,0.086281,0.080908,59.359238,0.000000,"VEA,VWO,IAU,VBK,VTV,MTUM",6
2000-01-31,11419.794460,11360.904482,-0.048493,-0.048695,59.359238,0.166667,"VEA,VWO,IAU,VBK,MTUM,BIL",6
2000-02-29,11794.986325,11737.080363,0.032855,0.033111,59.359238,0.166667,"VEA,VWO,VBK,MTUM,VBR,BIL",6
2000-03-31,11968.948976,11910.188967,0.014749,0.014749,59.359238,0.000000,"VEA,VWO,VBK,MTUM,VBR,VTV",6
2000-04-30,11594.152580,11537.232586,-0.031314,-0.031314,59.359238,0.000000,"VEA,VWO,VBK,MTUM,VBR,VTV",6
2000-05-31,11293.909110,11238.463122,-0.025896,-0.025896,59.359238,0.333333,"VBK,MTUM,VBR,VTV,BIL",5
2000-06-30,11541.449678,11484.788422,0.021918,0.021918,59.359238,0.166667,"VBK,MTUM,VBR,VEA,IGOV,BIL",6
2000-07-31,11443.987198,11387.804421,-0.008445,-0.008445,59.359238,0.333333,"MTUM,VBR,IGOV,VTV,BIL",5
2000-08-31,11920.842023,11862.318189,0.041669,0.041669,59.359238,0.000000,"MTUM,VBR,IGOV,VTV",4
2000-09-30,11822.101912,11764.062830,-0.008283,-0.008283,59.359238,0.333333,"VBR,IGOV,VTV,VBK,BIL",5
2000-10-31,11920.800832,11862.277200,0.008349,0.008349,59.359238,0.333333,"VBR,IGOV,VTV,VBK,BIL",5
2000-11-30,11489.727938,11433.320602,-0.036161,-0.036161,59.359238,0.333333,"VBR,IGOV,VTV,IAU,BIL",5
2000-12-31,11966.732293,11598.154896,0.041516,0.014417,369.187508,0.338384,"VBR,IGOV,VTV,IAU,BIL",5
