Year,Pre_Tax_Return,After_Tax_Return,Tax_Drag,Pre_Tax_End,After_Tax_End
1999,0.1745,0.1745,0.0000,11744.6695,11744.6695
2000,0.0388,0.0212,0.0176,11708.6522,11509.7439
2001,-0.0271,-0.0398,0.0127,11706.5743,11358.3897
2002,-0.0196,-0.0199,0.0003,11686.7145,11338.1765
2003,0.3157,0.2872,0.0285,15383.0779,14600.6409
2004,0.1011,0.0597,0.0413,17102.6669,15626.7921
2005,0.1481,0.1219,0.0262,19160.4200,17102.5047
2006,0.1394,0.0968,0.0426,23529.8440,20238.8527
2007,0.1066,0.0798,0.0268,26674.6834,22396.3165
2008,-0.0739,-0.0989,0.0251,24842.8446,20298.2499
2009,0.2375,0.1970,0.0406,30566.7056,24152.5341
2010,0.2107,0.1652,0.0455,34562.9385,26221.5282
2011,0.0363,-0.0130,0.0494,35684.0863,25782.6425
2012,0.0524,0.0304,0.0220,38157.9794,27013.9765
2013,0.1326,0.1296,0.0030,45124.3263,31870.4675
2014,0.1261,0.0910,0.0351,49062.3120,33570.6601
2015,-0.0801,-0.0941,0.0141,45917.5431,30947.8348
2016,0.0504,0.0441,0.0063,47825.0354,32036.6191
2017,0.1840,0.1718,0.0122,57732.7898,38276.1978
2018,-0.0518,-0.0889,0.0371,57828.2728,36846.4069
2019,0.0603,0.0381,0.0222,61681.1808,38487.0173
2020,0.1271,0.1224,0.0047,69225.6390,43010.4599
2021,0.1615,0.1036,0.0579,81403.8507,48056.6117
2022,-0.0177,-0.0417,0.0240,78476.2325,45149.6409
2023,-0.0554,-0.0555,0.0000,76281.8550,43904.2865
2024,0.1129,0.1129,-0.0000,83858.7467,48265.1928
2025,0.1375,0.1266,0.0109,99330.9623,56624.0262
2026,0.0745,0.0311,0.0434,112113.2998,61356.6366
