Date,Pre_Tax_Value,After_Tax_Value,Pre_Tax_Return,After_Tax_Return,Tax_Paid_Cumulative,BIL_Weight,Holdings,Num_Holdings
1999-01-31,10000.000000,10000.000000,,,0.000000,0.333333,"VTV,VEA,IGOV,BIL",4
1999-02-28,9840.576013,9840.576013,-0.015942,-0.015942,0.000000,0.166667,"VTV,VEA,IGOV,VWO,BIL",5
1999-03-31,10180.994994,10180.994994,0.034593,0.034593,0.000000,0.166667,"VTV,VEA,IGOV,VWO,BIL",5
1999-04-30,10688.985245,10688.985245,0.049896,0.049896,0.000000,0.000000,"VTV,VEA,IGOV,VWO,IAU",5
1999-05-31,10255.190766,10255.190766,-0.040583,-0.040583,0.000000,0.166667,"VTV,VEA,VWO,VBR,VBK,BIL",6
1999-06-30,10642.630572,10642.630572,0.037780,0.037780,0.000000,0.000000,"VTV,VEA,VWO,VBR,VBK,IAU",6
1999-07-31,10536.535799,10536.535799,-0.009969,-0.009969,0.000000,0.000000,"VTV,VEA,VWO,VBR,VBK,IAU",6
1999-08-31,10312.898792,10312.898792,-0.021225,-0.021225,0.000000,0.000000,"VTV,VEA,VWO,VBR,VBK,IAU",6
1999-09-30,10613.381107,10613.381107,0.029137,0.029137,0.000000,0.166667,"VEA,VWO,VBR,VBK,IAU,BIL",6
1999-10-31,10569.730816,10569.730816,-0.004113,-0.004113,0.000000,0.000000,"VEA,VWO,VBK,IAU,IGOV",5
1999-11-30,10917.024977,10917.024977,0.032857,0.032857,0.000000,0.000000,"VEA,VWO,VBK,IAU,IGOV,VTV",6
1999-12-31,11744.669472,11744.669472,0.075812,0.075812,0.000000,0.000000,"VEA,VWO,VBK,IAU,VTV",5
2000-01-31,11270.942214,11270.942214,-0.040336,-0.040336,0.000000,0.166667,"VEA,VWO,VBK,IAU,IGOV,BIL",6
2000-02-29,11686.271198,11686.271198,0.036850,0.036850,0.000000,0.166667,"VEA,VWO,VBK,IGOV,BIL",5
2000-03-31,11620.883187,11620.883187,-0.005595,-0.005595,0.000000,0.000000,"VEA,VWO,VBK,IGOV,VTV,VBR",6
2000-04-30,11274.187394,11274.187394,-0.029834,-0.029834,0.000000,0.000000,"VEA,VWO,VBK,IGOV,VTV,VBR",6
2000-05-31,11021.121047,11021.121047,-0.022447,-0.022447,0.000000,0.333333,"VBK,IGOV,VTV,VBR,BIL",5
2000-06-30,11259.423464,11259.423464,0.021622,0.021622,0.000000,0.333333,"VBK,IGOV,VBR,VEA,BIL",5
2000-07-31,11133.458978,11133.458978,-0.011187,-0.011187,0.000000,0.500000,"IGOV,VBR,BIL",3
2000-08-31,11389.468855,11389.468855,0.022995,0.022995,0.000000,0.166667,"IGOV,VBR,VTV,VBK,BIL",5
2000-09-30,11410.117534,11410.117534,0.001813,0.001813,0.000000,0.333333,"IGOV,VBR,VTV,VBK,BIL",5
2000-10-31,11505.376929,11505.376929,0.008349,0.008349,0.000000,0.333333,"IGOV,VBR,VTV,VBK,BIL",5
2000-11-30,11089.091234,11089.091234,-0.036182,-0.036182,0.000000,0.333333,"IGOV,VBR,VTV,IAU,BIL",5
2000-12-31,11708.652160,11509.743912,0.055871,0.037934,198.908248,0.335094,"IGOV,VBR,VTV,IAU,BIL",5
2001-01-31,12032.151039,11829.111676,0.027629,0.027748,198.908248,0.333333,"IGOV,VBR,VTV,IAU,BIL",5
2001-02-28,11953.103319,11751.397865,-0.006570,-0.006570,198.908248,0.333333,"IGOV,VBR,VTV,IAU,BIL",5
2001-03-31,11554.603496,11359.622622,-0.033339,-0.033339,198.908248,0.666667,"IGOV,VBR,BIL",3
2001-04-30,11625.911794,11429.727611,0.006171,0.006171,198.908248,0.333333,"IGOV,VBR,IAU,BIL",4
2001-05-31,11724.445137,11526.598229,0.008475,0.008475,198.908248,0.333333,"IGOV,VBR,IAU,VTV,BIL",5
2001-06-30,11731.001802,11533.044252,0.000559,0.000559,198.908248,0.333333,"IGOV,VBR,IAU,VBK,BIL",5
2001-07-31,11659.328205,11462.580129,-0.006110,-0.006110,198.908248,0.333333,"IGOV,VBR,IAU,VBK,BIL",5
2001-08-31,11714.170997,11516.497464,0.004704,0.004704,198.908248,0.500000,"IGOV,VBR,IAU,BIL",4
2001-09-30,11587.768454,11392.227929,-0.010791,-0.010791,198.908248,0.666667,"IGOV,IAU,BIL",3
2001-10-31,11765.162498,11566.628496,0.015309,0.015309,198.908248,0.666667,"IGOV,IAU,BIL",3
2001-11-30,11635.810244,11439.459027,-0.010995,-0.010995,198.908248,0.333333,"IGOV,IAU,VBR,BIL",4
2001-12-31,11706.574332,11358.389668,0.006082,-0.007087,349.547570,0.168877,"IGOV,IAU,VBR,VBK,BIL",5
2002-01-31,11920.090250,11568.302561,0.018239,0.018481,349.547570,0.166667,"IGOV,IAU,VBR,VBK,VWO,BIL",6
2002-02-28,12107.866450,11748.849870,0.015753,0.015607,349.547570,0.166667,"IGOV,IAU,VBR,VBK,VWO,BIL",6
2002-03-31,12587.988361,12213.623342,0.039654,0.039559,349.547570,0.000000,"IAU,VBR,VBK,VWO,VTV,VEA",6
2002-04-30,12790.974811,12410.483513,0.016125,0.016118,349.547570,0.000000,"IAU,VBR,VBK,VWO,VEA,IGOV",6
2002-05-31,12962.661542,12577.062981,0.013422,0.013422,349.547570,0.000000,"IAU,VBR,VBK,VWO,VEA,IGOV",6
2002-06-30,12214.258257,11850.921652,-0.057735,-0.057735,349.547570,0.166667,"IAU,VBR,VWO,VEA,IGOV,BIL",6
2002-07-31,11186.556738,10853.791091,-0.084139,-0.084139,349.547570,0.833333,"IGOV,BIL",2
2002-08-31,11372.421433,11034.126884,0.016615,0.016615,349.547570,0.666667,"IGOV,BIL",2
2002-09-30,11517.274646,11174.671159,0.012737,0.012737,349.547570,0.833333,"IGOV,BIL",2
2002-10-31,11446.763579,11106.257579,-0.006122,-0.006122,349.547570,0.833333,"IGOV,BIL",2
2002-11-30,11449.597909,11109.007597,0.000248,0.000248,349.547570,0.833333,"IGOV,BIL",2
2002-12-31,11686.714484,11338.176507,0.020710,0.020629,350.441746,0.666719,"IGOV,BIL",2
2003-01-31,11691.734067,11343.046773,0.000430,0.000430,350.441746,0.666667,"IGOV,IAU,BIL",3
2003-02-28,11723.640088,11374.033447,0.002729,0.002732,350.441746,0.666667,"IGOV,IAU,BIL",3
2003-03-31,11595.653927,11249.821819,-0.010917,-0.010921,350.441746,0.833333,"IGOV,BIL",2
2003-04-30,11696.264657,11347.431906,0.008677,0.008677,350.441746,0.000000,IGOV,1
2003-05-31,11731.802014,11381.909386,0.003038,0.003038,350.441746,0.000000,"IGOV,VTV,VBR,VBK,VWO,IAU",6
2003-06-30,11997.136198,11639.330168,0.022617,0.022617,350.441746,0.000000,"VTV,VBR,VBK,VWO,IAU",5
2003-07-31,12445.190260,12074.021337,0.037347,0.037347,350.441746,0.000000,"VTV,VBR,VBK,VWO,IAU,VEA",6
2003-08-31,13133.606943,12741.906483,0.055316,0.055316,350.441746,0.000000,"VTV,VBR,VBK,VWO,IAU,VEA",6
2003-09-30,13241.234874,12846.324488,0.008195,0.008195,350.441746,0.000000,"VTV,VBR,VBK,VWO,IAU,VEA",6
2003-10-31,14274.131641,13848.415846,0.078006,0.078006,350.441746,0.000000,"VBR,VBK,VWO,IAU,VEA,GSG",6
2003-11-30,14797.780018,14356.446783,0.036685,0.036685,350.441746,0.000000,"VBR,VBK,VWO,IAU,VEA,GSG",6
2003-12-31,15383.077863,14600.640915,0.039553,0.017009,674.089368,0.000000,"VBR,VBK,VWO,IAU,VEA,VTV",6
2004-01-31,15532.879888,14745.975202,0.009738,0.009954,674.089368,0.000000,"VBR,VBK,VWO,IAU,VEA,VTV",6
2004-02-29,15887.951455,15078.871793,0.022859,0.022575,674.089368,0.000000,"VBR,VBK,VWO,IAU,VEA,VTV",6
2004-03-31,15989.470758,15175.291350,0.006390,0.006394,674.089368,0.000000,"VBR,VBK,VWO,IAU,VEA,GSG",6
2004-04-30,14817.273714,14062.825465,-0.073311,-0.073308,674.089368,0.000000,"VBR,VBK,VWO,VEA,GSG,VTV",6
2004-05-31,14984.742898,14221.774334,0.011302,0.011303,674.089368,0.000000,"VBR,VBK,VWO,VEA,GSG,VTV",6
2004-06-30,15193.331475,14419.742494,0.013920,0.013920,674.089368,0.166667,"VBR,VBK,VEA,GSG,VTV,BIL",6
2004-07-31,14867.091906,14110.113853,-0.021473,-0.021473,674.089368,0.333333,"VBR,VEA,GSG,VTV,BIL",5
2004-08-31,15065.913364,14298.812048,0.013373,0.013373,674.089368,0.166667,"VBR,VEA,GSG,VTV,BIL",5
2004-09-30,15412.565379,14627.813807,0.023009,0.023009,674.089368,0.000000,"VBR,VEA,GSG,VTV,VWO,IAU",6
2004-10-31,15703.075489,14903.532204,0.018849,0.018849,674.089368,0.000000,"VBR,VEA,GSG,VTV,VWO,IAU",6
2004-11-30,16731.235711,15879.342260,0.065475,0.065475,674.089368,0.000000,"VBR,VEA,VTV,VWO,IAU,VBK",6
2004-12-31,17102.666860,15626.792087,0.022200,-0.015904,1279.158772,0.000000,"VBR,VEA,VTV,VWO,IAU,VBK",6
2005-01-31,16688.676114,15243.558721,-0.024206,-0.024524,1279.158772,0.000000,"VBR,VEA,VTV,VWO,IAU,VBK",6
2005-02-28,17357.761369,15854.951471,0.040092,0.040108,1279.158772,0.000000,"VBR,VEA,VTV,VWO,IAU,VBK",6
2005-03-31,16857.156161,15397.433734,-0.028840,-0.028856,1279.158772,0.000000,"VBR,VEA,VTV,VWO,IAU,GSG",6
2005-04-30,16490.295063,15062.342263,-0.021763,-0.021763,1279.158772,0.000000,"VBR,VEA,VTV,VWO,IAU",5
2005-05-31,16683.917359,15239.199536,0.011742,0.011742,1279.158772,0.000000,"VBR,VEA,VTV,VWO,VBK,IGOV",6
2005-06-30,17034.041831,15559.005527,0.020986,0.020986,1279.158772,0.000000,"VBR,VTV,VWO,VBK,GSG,IAU",6
2005-07-31,17689.925651,16158.094110,0.038504,0.038504,1279.158772,0.000000,"VBR,VTV,VWO,VBK,GSG,VEA",6
2005-08-31,17895.364344,16345.743159,0.011613,0.011613,1279.158772,0.000000,"VBR,VWO,VBK,GSG,VEA,IAU",6
2005-09-30,18638.077162,17024.141918,0.041503,0.041503,1279.158772,0.000000,"VBR,VWO,VBK,GSG,VEA,IAU",6
2005-10-31,17874.737618,16326.902573,-0.040956,-0.040956,1279.158772,0.000000,"VBR,VWO,VBK,VEA,IAU,VTV",6
2005-11-30,18636.343684,17022.558548,0.042608,0.042608,1279.158772,0.000000,"VBR,VWO,VBK,VEA,IAU,VTV",6
2005-12-31,19160.419971,17102.504686,0.028121,0.004696,1677.907351,0.000000,"VBR,VWO,VBK,VEA,IAU,VTV",6
2006-01-31,20650.860459,18451.916508,0.077787,0.078901,1677.907351,0.000000,"VBR,VWO,VBK,VEA,IAU,VNQ",6
2006-02-28,20592.462381,18399.736772,-0.002828,-0.002828,1677.907351,0.000000,"VBR,VWO,VBK,VEA,IAU,VNQ",6
2006-03-31,21314.180713,19044.605126,0.035048,0.035048,1677.907351,0.000000,"VBR,VWO,VBK,VEA,IAU,VNQ",6
2006-04-30,22053.548662,19705.243732,0.034689,0.034689,1677.907351,0.000000,"VBR,VWO,VBK,VEA,IAU,VNQ",6
2006-05-31,20997.899737,18762.002366,-0.047868,-0.047868,1677.907351,0.000000,"VWO,VBK,VEA,IAU,VNQ,VTV",6
2006-06-30,20960.778089,18728.833504,-0.001768,-0.001768,1677.907351,0.000000,"VWO,VEA,IAU,VNQ,VTV,VBR",6
2006-07-31,21382.349566,19105.515226,0.020112,0.020112,1677.907351,0.000000,"VWO,VEA,IAU,VNQ,VTV,GSG",6
2006-08-31,21602.480171,19302.205895,0.010295,0.010295,1677.907351,0.000000,"VWO,VEA,IAU,VNQ,VTV,VBR",6
